p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q75179296,3,4201.0,3353.33,24.0,18.67,0.0,2.0,386.0,325.33,0,2,0,0,0,ice hockey league,ice hockey league,хоккейная лига,0.0,66.67,0.0,0.0,0.0
Q751876,6,202.5,295.83,0.0,1.5,1.0,1.0,5.5,6.67,4,1,4,3,0,,,,66.67,16.67,66.67,50.0,0.0
Q751989,5,122.0,303.0,1.0,3.4,1.0,1.2,4.0,6.2,1,2,4,1,0,,,,20.0,40.0,80.0,20.0,0.0
Q751997,2,112.5,112.5,1.5,1.5,1.0,1.0,10.5,10.5,0,0,2,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q752080,1,387.0,387.0,0.0,0.0,11.0,11.0,1.0,1.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q7521336,1,79.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q752374,6,268.0,289.83,0.0,1.5,0.0,0.33,16.0,13.33,5,5,0,0,0,,,,83.33,83.33,0.0,0.0,0.0
Q752783,7,584.0,642.71,1.0,3.0,5.0,5.86,20.0,21.71,2,1,1,0,0,,,,28.57,14.29,14.29,0.0,0.0
Q7533476,1,2239.0,2239.0,34.0,34.0,2.0,2.0,26.0,26.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7535186,2,569.5,569.5,0.5,0.5,0.5,0.5,4.5,4.5,1,1,1,1,1,,,,50.0,50.0,50.0,50.0,50.0
Q7543008,4,308.0,388.25,0.0,0.0,1.0,1.5,14.0,19.5,4,0,1,1,0,,,,100.0,0.0,25.0,25.0,0.0
Q7543083,8,213.5,227.88,1.0,1.0,1.0,1.12,10.0,15.12,2,2,5,1,0,,,,25.0,25.0,62.5,12.5,0.0
Q754479,1,230.0,230.0,1.0,1.0,0.0,0.0,6.0,6.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q754659,1,123.0,123.0,1.0,1.0,1.0,1.0,3.0,3.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q754831,1,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q754897,6,186.5,146.0,1.0,1.5,0.5,0.5,12.0,11.67,0,3,6,0,0,,,,0.0,50.0,100.0,0.0,0.0
Q754984,1,310.0,310.0,2.0,2.0,0.0,0.0,7.0,7.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q755017,6,350.5,453.17,0.5,2.17,0.5,1.5,7.5,9.67,3,3,1,1,0,,,,50.0,50.0,16.67,16.67,0.0
Q755138,1,260.0,260.0,1.0,1.0,3.0,3.0,30.0,30.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q75520,19,179.0,310.47,1.0,0.95,1.0,0.74,12.0,14.89,8,9,13,6,4,plateau,Үстірт,плато,42.11,47.37,68.42,31.58,21.05
Q7553685,1,273.0,273.0,0.0,0.0,0.0,0.0,5.0,5.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q755707,3,228.0,194.0,0.0,0.33,1.0,0.67,0.0,1.67,2,1,2,1,1,,,,66.67,33.33,66.67,33.33,33.33
Q7558985,2,689.5,689.5,8.5,8.5,1.5,1.5,3.0,3.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7559,1,266.0,266.0,0.0,0.0,1.0,1.0,3.0,3.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q755992,26,311.5,315.62,1.0,1.92,1.0,1.08,10.5,11.77,10,4,8,3,2,,,,38.46,15.38,30.77,11.54,7.69
Q756,1,449.0,449.0,2.0,2.0,2.0,2.0,16.0,16.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q756102,2,209.0,209.0,2.5,2.5,1.0,1.0,4.0,4.0,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q756202,2,851.5,851.5,2.5,2.5,13.0,13.0,45.0,45.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7562091,1,820.0,820.0,3.0,3.0,0.0,0.0,23.0,23.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q7565950,1,1331.0,1331.0,0.0,0.0,1.0,1.0,39.0,39.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q756820,1,266.0,266.0,1.0,1.0,1.0,1.0,10.0,10.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7574799,1,1539.0,1539.0,7.0,7.0,2.0,2.0,158.0,158.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7574929,2,66.5,66.5,1.5,1.5,0.0,0.0,2.5,2.5,0,2,2,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q7574983,1,58.0,58.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q75762,1,307.0,307.0,0.0,0.0,0.0,0.0,6.0,6.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q7578130,1,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q75913269,1,1011.0,1011.0,21.0,21.0,1.0,1.0,30.0,30.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q75931442,1,56.0,56.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q759676,2,164.0,164.0,1.0,1.0,0.5,0.5,9.5,9.5,0,1,2,0,0,,,,0.0,50.0,100.0,0.0,0.0
Q76007695,1,2420.0,2420.0,31.0,31.0,6.0,6.0,70.0,70.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q76009696,1,2420.0,2420.0,31.0,31.0,6.0,6.0,70.0,70.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7603708,1,287.0,287.0,3.0,3.0,1.0,1.0,23.0,23.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q7604529,1,101.0,101.0,1.0,1.0,0.0,0.0,14.0,14.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q76212517,1,2026.0,2026.0,10.0,10.0,13.0,13.0,95.0,95.0,0,0,0,0,0,café chain,café chain,сеть кофеен,0.0,0.0,0.0,0.0,0.0
